category,title,start,end,place,description,pictureName
0,バンジージャンプ,11/25/1100,11/25/1200,B棟屋上,等身大の人形を使って屋上から吊るす。,bungee.png
0,聖火リレー,11/25/1130,11/25/1230,三条から時計台,歴代の寮祭実行委員長が時計台コンパに合わせて時計台まで聖火もどきをリレーする。,TorchRelay.jpg
0,時計台占拠,11/25/1230,11/25/1700,時計台,はしごで登りおりする企画。垂れ幕たらすよ♪,sennkyo.png
0,時計台コンパ,11/25/1300,11/25/1700,時計台,寮外に寮祭開始をアピールする企画。時計台前で鏡開きする,Tokeidai.png
0,帰巣本能ゲーム,11/25/1800,,寮外,見知らぬ場所での飲み会から泥酔状態で家に帰れるかに挑戦する企画。,kisouhonnnou.png
0,Music Festival1日目,11/25/1800,11/25/2300,音楽室,ライブ,MusicFes.jpg
0,激突要塞最強決定戦,11/25/1830,11/25/2200,食堂,伝説のFLASHゲーム『激突要塞+』をする企画。景品あるよ,gekitotsu.png
0,ガンダム上映会 Ⅰ 1話から9話,11/25/2300,11/25/2700,ビリヤードスペース,機動戦士ガンダム鉄血のオルフェンズ第一期の上映会。,gundam.png
0,イワサキ秋のパン祭り,11/26/1200,11/26/1700,中庭,パンを焼いて、食べる会。,PanFes.png
0,MCU上映会 Ⅰ,11/26/1300,11/26/1600,ビリヤードスペース,マーブルのペーズノの映画の上映会。,MCU.jpg
0,KUMAN,11/26/1300,11/26/1800,ロビー,近所のお子さんと遊んだり、勉強を教えたりする企画。,KUMAN.png
0,優雅なティーパーティー,11/26/1400,11/26/1600,食堂,お茶会,TeaParty.jpg
0,耐久カタン,11/26/2100,11/27/1100,食堂,長時間、カタンをする。栄養ドリンクは準備してるよ！,katan.png
0,立看祭,11/27/0930,11/27/2400,ビリヤードスペース,寮祭を宣伝する立て看板をたくさん作る。,tatekan.png
0,もしも無人島に何か１つだけ持っていくとしたら？,11/27/1000,11/28/1900,食堂集合,ものを１つだけ持って行き、寮から離島に行って1日暮らして帰って来る,mujin.png
0,第６回バトルシティ　in　熊野,11/27/1100,11/27/1800,食堂,遊戯王の大会,BattleCity.png
0,AB棟間綱引き,11/27/1300,11/27/1400,AB棟屋上,AB棟間で綱引きをする。寮外せいは、どちらのチームについてもいい,Abtsunahiki.png
0,空腹VS満腹,11/27/1400,11/27/1500,,１人は何も食べずに過ごし、もう１人は１時間ごとにルーレットで当てたものを食べる。先にギブした方の負け,kuuhuku.png
0,２４時間を計れ,11/27/1700,,,時計などなしで、２４時間過ごし、２４時間経過したと思った時に部屋から出てくる,24jikan.png
0,正月,11/27/1800,,食堂,早めに、正月を祝う,syougatsu.png
0,君の手は。ー京都駅大階段グリコ　2016ー,11/27/1800,11/27/2000,京都駅,カップルがたくさんいる京都駅大階段でグリコをする,guriko.png
0,劇団『不器用貧乏』旗揚げ公演,11/27/1800,11/27/2030,食堂,コラージュ劇をやるよ,bukiyou.png
0,ガンダム上映会 Ⅱ 10話から13話,11/27/2100,11/27/2300,ビリヤードスペース,機動戦士ガンダム鉄血のオルフェンズ第一期の上映会。,gundam.png
0,座禅,11/28/0700,11/28/0800,民青池,畳を敷いてみんなで足を組んで座禅をする。１限に行けれるよ！,zazen.png
0,タランティーノ祭り Ⅰ,11/28/0800,11/28/1000,ビリヤードスペース,タランティーノ監督の作品を見る,tarantino.jpg
0,藍染め,11/28/1000,11/28/1800,中庭,藍染めを体験する企画。,aizome.png
0,リアルスプラトゥーン,11/28/1230,11/28/1330,グラウンド,水鉄砲と水性インクでリアルスプラトゥーンをする,splatoon.jpg
0,麻将皇帝戦,11/28/1900,,食堂,麻雀大会,masyou.png
0,MCU上映会 Ⅱ,11/28/2100,11/28/2400,ビリヤードスペース,マーブルのペーズノの映画の上映会。,MCU.jpg
0,タランティーノ祭り Ⅱ,11/29/0800,11/29/1200,ビリヤードスペース,タランティーノ監督の作品を見る,tarantino.jpg
0,車と戦え,11/29/1300,11/29/1500,寮外,自動車と速さ、強さ、硬さで戦う。,kuruma.png
0,VR体験会,11/29/1500,,ビリヤードスペース,企画名通り,VR.png
0,with　水風船,11/29/1600,11/29/1700,グラウンド,寒さなんか関係なく、水風船を当てあう,withMizu.png
0,鉄扉,11/29/2000,,硬鉄庵,飲み会,teppi.png
0,ポイズンクッキング,11/29/2000,11/29/2200,食堂,数種類の食べ物or飲料を用意し、混ぜる。「まずい」とはどういう感覚なのか考える,poison.png
